Process ID,Process Name,Department,Process Owner,Start Date,End Date,Cycle Time (Hours),Standard Cycle Time,Employee Assigned,Task Volume,Tasks Completed,Productivity %,Error Count,Rework Count,Process Cost ($),Customer Complaints,SLA Target (%),SLA Achieved (%),Process Status,Improvement Opportunity,Process Efficiency %,Error Rate %,Rework Rate %,Task Completion Rate %,Cost per Task ($),SLA Breach
PRC-0001,Data Reconciliation,Finance,Rajan Mehta,2024-02-27,2024-02-27,7.2,4,4,82,53,64.6,11,1,55752.0,8,72,82,Completed,Automate manual steps,55.6,13.4,1.2,64.6,679.9,False
PRC-0002,Vendor Payment,Finance,Kavya Iyer,2024-09-15,2024-09-15,9.6,13,6,70,61,87.1,8,6,21533.0,9,78,96,Delayed,Implement RPA,100.0,11.4,8.6,87.1,307.61,False
PRC-0003,IT Support Ticket,IT,Pooja Patel,2024-03-20,2024-03-20,15.0,7,2,106,63,59.4,12,1,31923.0,5,89,61,Delayed,Reassign resources,46.7,11.3,0.9,59.4,301.16,True
PRC-0004,Employee Onboarding,HR,Rajan Mehta,2024-07-12,2024-07-12,7.6,5,4,180,149,82.8,27,11,48301.0,1,71,87,Completed,Digitize paper forms,65.8,15.0,6.1,82.8,268.34,False
PRC-0005,Budget Approval,Finance,Rahul Verma,2024-02-21,2024-02-21,11.2,10,3,182,168,92.3,5,2,31645.0,10,78,89,On Hold,Reduce approval layers,89.3,2.7,1.1,92.3,173.87,False
PRC-0006,Payroll Processing,HR,Arjun Singh,2024-05-05,2024-05-05,8.4,6,7,89,88,98.9,10,8,21471.0,5,94,94,Completed,Automate manual steps,71.4,11.2,9.0,98.9,241.25,False
PRC-0007,IT Support Ticket,IT,Vikram Nair,2024-02-03,2024-02-03,14.5,7,5,165,155,93.9,10,3,54158.0,6,90,74,Completed,Implement RPA,48.3,6.1,1.8,93.9,328.23,True
PRC-0008,Customer Complaint Handling,CX,Rahul Verma,2024-10-26,2024-10-26,20.5,10,2,122,86,70.5,4,4,42014.0,0,73,54,In Progress,Add SLA alerts,48.8,3.3,3.3,70.5,344.38,True
PRC-0009,Quality Inspection,Operations,Rajan Mehta,2024-07-14,2024-07-15,28.5,13,5,155,102,65.8,17,0,56021.0,1,91,79,Delayed,Consolidate duplicate steps,45.6,11.0,0.0,65.8,361.43,True
PRC-0010,Quality Inspection,Operations,Rahul Verma,2024-03-21,2024-03-21,7.8,11,4,87,85,97.7,12,2,43076.0,1,90,64,Delayed,Improve training,100.0,13.8,2.3,97.7,495.13,True
PRC-0011,Customer Onboarding,Sales,Priya Sharma,2024-07-10,2024-07-10,15.1,16,4,155,149,96.1,19,10,41645.0,1,81,98,Delayed,Streamline handoffs,100.0,12.3,6.5,96.1,268.68,False
PRC-0012,Employee Onboarding,HR,Kavya Iyer,2024-10-17,2024-10-17,4.1,5,4,144,132,91.7,17,4,14629.0,7,87,55,Completed,None Required,100.0,11.8,2.8,91.7,101.59,True
PRC-0013,Employee Onboarding,HR,Rajan Mehta,2024-10-03,2024-10-04,28.7,16,6,71,61,85.9,6,5,53741.0,7,86,73,Completed,Streamline handoffs,55.7,8.5,7.0,85.9,756.92,True
PRC-0014,Order Fulfillment,Operations,Vikram Nair,2024-10-28,2024-10-28,12.5,12,5,76,42,55.3,11,10,9416.0,1,71,100,Completed,Improve training,96.0,14.5,13.2,55.3,123.89,False
PRC-0015,Data Reconciliation,Finance,Kavya Iyer,2024-09-05,2024-09-05,10.6,7,7,166,134,80.7,7,7,65562.0,3,73,51,In Progress,Consolidate duplicate steps,66.0,4.2,4.2,80.7,394.95,True
PRC-0016,Inventory Management,Operations,Ananya Das,2024-01-28,2024-01-28,23.5,14,7,185,109,58.9,12,11,30448.0,1,77,57,Completed,Reassign resources,59.6,6.5,5.9,58.9,164.58,True
PRC-0017,Customer Onboarding,Sales,Ananya Das,2024-05-22,2024-05-22,11.8,11,7,39,29,74.4,4,0,8794.0,8,70,50,On Hold,Streamline handoffs,93.2,10.3,0.0,74.4,225.49,True
PRC-0018,Inventory Management,Operations,Suresh Reddy,2024-09-03,2024-09-03,14.0,7,3,35,21,60.0,0,0,24890.0,7,79,72,In Progress,Improve training,50.0,0.0,0.0,60.0,711.14,True
PRC-0019,Vendor Payment,Finance,Ananya Das,2024-05-31,2024-05-31,15.1,7,1,168,148,88.1,1,1,9287.0,9,85,77,On Hold,Improve training,46.4,0.6,0.6,88.1,55.28,True
PRC-0020,Payroll Processing,HR,Rajan Mehta,2024-02-11,2024-02-11,4.8,6,7,37,31,83.8,1,1,13991.0,9,77,82,In Progress,None Required,100.0,2.7,2.7,83.8,378.14,False
PRC-0021,Data Reconciliation,Finance,Arjun Singh,2024-10-25,2024-10-25,19.3,13,2,86,55,64.0,11,5,22901.0,6,74,87,In Progress,Reassign resources,67.4,12.8,5.8,64.0,266.29,False
PRC-0022,Order Fulfillment,Operations,Suresh Reddy,2024-08-22,2024-08-23,28.6,13,5,45,26,57.8,1,1,14934.0,5,72,60,Completed,Implement RPA,45.5,2.2,2.2,57.8,331.87,True
PRC-0023,Contract Review,Legal,Ananya Das,2024-11-30,2024-11-30,8.5,12,5,161,110,68.3,21,3,75420.0,2,78,52,Delayed,Improve training,100.0,13.0,1.9,68.3,468.45,True
PRC-0024,IT Support Ticket,IT,Priya Sharma,2024-11-05,2024-11-05,12.4,7,1,72,61,84.7,4,4,41640.0,0,72,85,Completed,Digitize paper forms,56.5,5.6,5.6,84.7,578.33,False
PRC-0025,HR Recruitment,HR,Priya Sharma,2024-03-07,2024-03-08,30.4,14,6,61,53,86.9,8,6,47068.0,1,72,89,On Hold,Improve training,46.1,13.1,9.8,86.9,771.61,False
PRC-0026,Contract Review,Legal,Kavya Iyer,2024-10-09,2024-10-09,8.1,6,3,30,20,66.7,0,0,20756.0,3,91,51,Completed,Improve training,74.1,0.0,0.0,66.7,691.87,True
PRC-0027,Employee Onboarding,HR,Neha Gupta,2024-05-01,2024-05-01,13.0,6,3,65,61,93.8,0,0,60242.0,5,95,71,Delayed,Streamline handoffs,46.2,0.0,0.0,93.8,926.8,True
PRC-0028,Product Return Processing,Operations,Vikram Nair,2024-12-25,2024-12-25,6.4,5,1,29,27,93.1,1,0,66244.0,7,81,64,Delayed,Streamline handoffs,78.1,3.4,0.0,93.1,2284.28,True
PRC-0029,Data Reconciliation,Finance,Rajan Mehta,2024-04-08,2024-04-08,11.9,10,5,37,36,97.3,2,1,53111.0,6,91,98,In Progress,Automate manual steps,84.0,5.4,2.7,97.3,1435.43,False
PRC-0030,Customer Onboarding,Sales,Neha Gupta,2024-10-24,2024-10-24,6.1,8,1,172,128,74.4,23,10,37730.0,8,73,69,Delayed,Streamline handoffs,100.0,13.4,5.8,74.4,219.36,True
PRC-0031,Customer Complaint Handling,CX,Rahul Verma,2024-08-11,2024-08-11,5.9,4,6,157,134,85.4,23,23,55297.0,5,83,49,On Hold,Consolidate duplicate steps,67.8,14.6,14.6,85.4,352.21,True
PRC-0032,Data Reconciliation,Finance,Ananya Das,2024-03-04,2024-03-05,30.8,15,5,149,102,68.5,13,5,35180.0,4,87,53,Completed,Add SLA alerts,48.7,8.7,3.4,68.5,236.11,True
PRC-0033,Quality Inspection,Operations,Suresh Reddy,2024-10-07,2024-10-07,4.6,4,3,73,54,74.0,9,9,54103.0,7,84,73,In Progress,Improve training,87.0,12.3,12.3,74.0,741.14,True
PRC-0034,Data Reconciliation,Finance,Vikram Nair,2024-02-13,2024-02-13,11.8,8,8,182,150,82.4,2,0,55460.0,3,95,57,Completed,Automate manual steps,67.8,1.1,0.0,82.4,304.73,True
PRC-0035,Contract Review,Legal,Rajan Mehta,2024-02-07,2024-02-07,14.5,11,7,181,146,80.7,22,22,33798.0,6,77,54,In Progress,Automate manual steps,75.9,12.2,12.2,80.7,186.73,True
PRC-0036,Vendor Payment,Finance,Pooja Patel,2024-03-31,2024-04-01,34.2,16,6,152,115,75.7,17,7,73810.0,1,84,53,Delayed,Improve training,46.8,11.2,4.6,75.7,485.59,True
PRC-0037,Product Return Processing,Operations,Pooja Patel,2024-08-14,2024-08-15,25.0,13,8,149,110,73.8,17,14,72291.0,7,84,61,Delayed,Digitize paper forms,52.0,11.4,9.4,73.8,485.17,True
PRC-0038,Data Reconciliation,Finance,Vikram Nair,2024-05-02,2024-05-02,10.9,8,2,93,60,64.5,5,2,71977.0,1,74,54,Completed,Implement RPA,73.4,5.4,2.2,64.5,773.95,True
PRC-0039,Quality Inspection,Operations,Kavya Iyer,2024-07-27,2024-07-27,13.6,9,8,126,72,57.1,13,6,72863.0,9,92,46,Delayed,None Required,66.2,10.3,4.8,57.1,578.28,True
PRC-0040,Order Fulfillment,Operations,Kavya Iyer,2024-06-29,2024-06-29,14.6,8,3,127,100,78.7,17,7,41617.0,4,83,76,Completed,Consolidate duplicate steps,54.8,13.4,5.5,78.7,327.69,True
PRC-0041,Budget Approval,Finance,Ananya Das,2024-08-27,2024-08-27,13.0,6,1,156,87,55.8,12,9,47329.0,0,72,86,Completed,Reassign resources,46.2,7.7,5.8,55.8,303.39,False
PRC-0042,IT Support Ticket,IT,Pooja Patel,2024-07-13,2024-07-13,9.2,9,1,103,72,69.9,12,4,61401.0,6,78,98,Completed,Automate manual steps,97.8,11.7,3.9,69.9,596.13,False
PRC-0043,HR Recruitment,HR,Rajan Mehta,2024-04-24,2024-04-24,11.2,14,4,186,105,56.5,0,0,19952.0,0,89,54,Completed,Reassign resources,100.0,0.0,0.0,56.5,107.27,True
PRC-0044,Inventory Management,Operations,Kavya Iyer,2024-12-24,2024-12-24,14.8,8,7,62,51,82.3,1,0,77354.0,1,88,46,On Hold,None Required,54.1,1.6,0.0,82.3,1247.65,True
PRC-0045,Customer Complaint Handling,CX,Priya Sharma,2024-04-11,2024-04-11,7.9,5,6,180,118,65.6,22,9,68772.0,9,95,52,Delayed,None Required,63.3,12.2,5.0,65.6,382.07,True
PRC-0046,Payroll Processing,HR,Ananya Das,2024-08-07,2024-08-07,17.6,14,7,149,125,83.9,0,0,66675.0,1,83,68,In Progress,Reassign resources,79.5,0.0,0.0,83.9,447.48,True
PRC-0047,Customer Onboarding,Sales,Neha Gupta,2024-09-24,2024-09-24,15.5,14,8,157,141,89.8,14,6,66930.0,9,78,65,Delayed,Reduce approval layers,90.3,8.9,3.8,89.8,426.31,True
PRC-0048,Vendor Payment,Finance,Rahul Verma,2024-08-25,2024-08-25,21.0,13,5,117,82,70.1,15,10,18638.0,3,81,96,Completed,Digitize paper forms,61.9,12.8,8.5,70.1,159.3,False
PRC-0049,Payroll Processing,HR,Suresh Reddy,2024-01-06,2024-01-07,25.5,12,1,41,27,65.9,3,3,46638.0,3,92,75,In Progress,Reassign resources,47.1,7.3,7.3,65.9,1137.51,True
PRC-0050,Invoice Processing,Finance,Arjun Singh,2024-05-30,2024-05-30,9.1,7,6,82,56,68.3,9,5,40495.0,8,81,72,On Hold,Improve training,76.9,11.0,6.1,68.3,493.84,True
